Product Name,Lock Period,Call Center Price,Rate,Investor Pricing,Srp
10000.20.001,40,N/A,6.125,N/A,1.436294924
10000.20.001,45,97.378,4.25,102.4265137,0.769648675
10000.20.001,45,98,4.375,103.0444578,1.397592796
10000.20.001,45,98.757,4.5,103.63998,1.995114975
10000.20.001,45,99,4.625,104.1204538,2.464588746
10000.20.001,45,99.118,4.75,103.7727634,0.759091215
10000.20.001,45,99.758,4.875,104.2677119,1.248039691
10000.20.001,45,100,4.99,104.5866843,1.56901208
10000.20.001,45,100.243,5.125,105.132631,2.11895873
10000.20.001,45,100.379,5.25,104.4087911,0.761979239
10000.20.001,45,100.495,5.375,104.8028895,1.154077674
10000.20.001,45,100.618,5.5,105.0180016,1.378189759
10000.20.001,45,100.743,5.625,105.3233516,1.682539774
10000.20.001,45,100.882,5.75,105.6210531,0.571303133
10000.20.001,45,101.494,5.875,105.9272478,0.884497841
10000.20.001,45,101.741,5.99,106.2964755,1.263725549
10000.20.001,45,N/A,6.125,N/A,1.442294924
10000.20.001,60,97.248,4.25,102.3015137,0.787648675
10000.20.001,60,97.879,4.375,102.9204578,1.400592796
10000.20.001,60,98.631,4.5,103.52198,2.004114975
10000.20.001,60,98.875,4.625,103.9824538,2.465588746
10000.20.001,60,98.996,4.75,103.6637634,0.761091215
10000.20.001,60,99.617,4.875,104.1597119,1.253039691
10000.20.001,60,99.870,4.99,104.4726843,1.57501208
10000.20.001,60,100.120,5.125,105.007631,2.10295873
10000.20.001,60,100.256,5.25,104.2727911,0.767979239
10000.20.001,60,100.366,5.375,104.6678895,1.159077674
10000.20.001,60,100.492,5.5,104.8810016,1.366189759
10000.20.001,60,100.630,5.625,105.1883516,1.666539774
10000.20.001,60,100.748,5.75,105.4850531,0.574303133
10000.20.001,60,101.379,5.875,105.8022478,0.875497841
10000.20.001,60,101.621,5.99,106.1674755,1.264725549
10000.20.001,60,N/A,6.125,N/A,1.429294924
10000.20.001,75,97.124,4.25,102.1745137,0.779648675
10000.20.001,75,97.756,4.375,102.8054578,1.400592796
10000.20.001,75,98.491,4.5,103.39998,1.986114975
10000.20.001,75,98.742,4.625,103.8734538,2.468588746
10000.20.001,75,98.884,4.75,103.5257634,0.760091215
10000.20.001,75,99.504,4.875,104.0207119,1.261039691
10000.20.001,75,99.748,4.99,104.3326843,1.55901208
10000.20.001,75,100,5.125,104.884631,2.11195873
